Session,Cap,Period,Subject,Group,Profit,TotalProfit,Position,BuyPrice,BuyDecision,Step,Confidence,BeliefResale,Rationale,ReasoningTokens,rationale_short
20260430T165050Z_lab_cap1_s0,1,7,conv_69f3886b57688194971c4e984c8c0fb9076461c93784d68f,11845,1,7,2,10,0,1,,,,,
20260430T165050Z_lab_cap1_s0,1,7,conv_69f3886d8dc88193b2acc42e6f71e7000b9be23e693d8071,11845,1,7,3,100,0,0,,,,,
20260430T165050Z_lab_cap1_s0,1,7,conv_69f3886d57bc8190ad0e02516a5aba4801a7cc29a3225360,77407,1,7,1,1,0,2,,,,,
20260430T165050Z_lab_cap1_s0,1,7,conv_69f3886d18e081978341ed317ffb83ad0001bfe1c1a264ac,77407,1,7,2,10,0,1,,,,,
20260430T165050Z_lab_cap1_s0,1,7,conv_69f3886c6a8081938f70dbd9f795136d0e4f7fdda94120e1,77407,1,7,3,100,0,0,,,,,
20260430T165050Z_lab_cap1_s0,1,8,conv_69f3886d8dc88193b2acc42e6f71e7000b9be23e693d8071,52710,1,8,1,1,0,2,,,,,
20260430T165050Z_lab_cap1_s0,1,8,conv_69f3886dc8a88190aa841f509cd590a407e7684bbf9bd059,52710,1,8,2,10,0,1,,,,,
20260430T165050Z_lab_cap1_s0,1,8,conv_69f3886d18e081978341ed317ffb83ad0001bfe1c1a264ac,52710,1,8,3,100,0,0,,,,,
20260430T165050Z_lab_cap1_s0,1,8,conv_69f3886bea188196a1314aa29ec5a5a10756202289bc8ea2,67693,1,8,1,1,0,2,,,,,
20260430T165050Z_lab_cap1_s0,1,8,conv_69f3886b57688194971c4e984c8c0fb9076461c93784d68f,67693,1,8,2,10,0,1,,,,,
20260430T165050Z_lab_cap1_s0,1,8,conv_69f3886c28d48197b72e8b2e91106cf0082ebd5a7d338c92,67693,1,8,3,100,0,0,,,,,
20260430T165050Z_lab_cap1_s0,1,8,conv_69f3886d57bc8190ad0e02516a5aba4801a7cc29a3225360,83001,1,8,1,1,0,2,,,,,
20260430T165050Z_lab_cap1_s0,1,8,conv_69f3886c6a8081938f70dbd9f795136d0e4f7fdda94120e1,83001,1,8,2,10,0,1,,,,,
20260430T165050Z_lab_cap1_s0,1,8,conv_69f3886e00fc8196949d5c0a0b2bad7c02e8a3b9a0703d86,83001,1,8,3,100,0,0,,,,,
20260430T165050Z_lab_cap1_s0,1,9,conv_69f3886c28d48197b72e8b2e91106cf0082ebd5a7d338c92,49663,1,9,1,1,0,2,,,,,
20260430T165050Z_lab_cap1_s0,1,9,conv_69f3886bea188196a1314aa29ec5a5a10756202289bc8ea2,49663,1,9,2,10,0,1,,,,,
20260430T165050Z_lab_cap1_s0,1,9,conv_69f3886b57688194971c4e984c8c0fb9076461c93784d68f,49663,1,9,3,100,0,0,,,,,
20260430T165050Z_lab_cap1_s0,1,9,conv_69f3886d18e081978341ed317ffb83ad0001bfe1c1a264ac,71886,1,9,1,1,0,2,,,,,
20260430T165050Z_lab_cap1_s0,1,9,conv_69f3886d8dc88193b2acc42e6f71e7000b9be23e693d8071,71886,1,9,2,10,0,1,,,,,
20260430T165050Z_lab_cap1_s0,1,9,conv_69f3886dc8a88190aa841f509cd590a407e7684bbf9bd059,71886,1,9,3,100,0,0,,,,,
20260430T165050Z_lab_cap1_s0,1,9,conv_69f3886e00fc8196949d5c0a0b2bad7c02e8a3b9a0703d86,70721,1,9,1,1,0,2,,,,,
20260430T165050Z_lab_cap1_s0,1,9,conv_69f3886c6a8081938f70dbd9f795136d0e4f7fdda94120e1,70721,1,9,2,10,0,1,,,,,
20260430T165050Z_lab_cap1_s0,1,9,conv_69f3886d57bc8190ad0e02516a5aba4801a7cc29a3225360,70721,1,9,3,100,0,0,,,,,
20260430T165050Z_lab_cap1_s0,1,10,conv_69f3886d18e081978341ed317ffb83ad0001bfe1c1a264ac,37507,1,10,1,1,0,2,,,,,
20260430T165050Z_lab_cap1_s0,1,10,conv_69f3886dc8a88190aa841f509cd590a407e7684bbf9bd059,37507,1,10,2,10,0,1,,,,,
20260430T165050Z_lab_cap1_s0,1,10,conv_69f3886b57688194971c4e984c8c0fb9076461c93784d68f,37507,1,10,3,100,0,0,,,,,
20260430T165050Z_lab_cap1_s0,1,10,conv_69f3886c6a8081938f70dbd9f795136d0e4f7fdda94120e1,61445,1,10,1,1,0,2,,,,,
20260430T165050Z_lab_cap1_s0,1,10,conv_69f3886d57bc8190ad0e02516a5aba4801a7cc29a3225360,61445,1,10,2,10,0,1,,,,,
20260430T165050Z_lab_cap1_s0,1,10,conv_69f3886bea188196a1314aa29ec5a5a10756202289bc8ea2,61445,1,10,3,100,0,0,,,,,
20260430T165050Z_lab_cap1_s0,1,10,conv_69f3886c28d48197b72e8b2e91106cf0082ebd5a7d338c92,63187,1,10,1,1,0,2,,,,,
20260430T165050Z_lab_cap1_s0,1,10,conv_69f3886e00fc8196949d5c0a0b2bad7c02e8a3b9a0703d86,63187,1,10,2,10,0,1,,,,,
20260430T165050Z_lab_cap1_s0,1,10,conv_69f3886d8dc88193b2acc42e6f71e7000b9be23e693d8071,63187,1,10,3,100,0,0,,,,,
